epsilon,lambda,I1,I2,I3,phi
0.0,1.0,3.0,3.0,1.0,0.0
0.00202020202020202,1.002020202020202,3.00001222719209,3.0000122107521627,1.0,0.000564620730837591
0.00404040404040404,1.004040404040404,3.0000488432071872,3.000048712084306,1.0,0.0022589731646266435
0.006060606060606061,1.006060606060606,3.0001097502959495,3.00010930908739,1.0,0.005089080257661869
0.00808080808080808,1.0080808080808081,3.0001948514925987,3.0001938088034126,1.0,0.009068037227653526
0.0101010101010101,1.0101010101010102,3.000304050607081,3.00030202020202,1.0,0.014216100401671558
0.012121212121212121,1.0121212121212122,3.0004372522173286,3.0004337541574446,1.0,0.02056085011347761
0.014141414141414142,1.0141414141414142,3.0005943616616078,3.0005888234257627,1.0,0.02813742932781689
0.01616161616161616,1.0161616161616163,3.0007752850309632,3.0007670426224706,1.0,0.03698886076088721
0.01818181818181818,1.018181818181818,3.000979929161747,3.000968228200371,1.0,0.04716644639475031
0.0202020202020202,1.02020202020202,3.0012082016282435,3.0011921984277636,1.0,0.058730254473272105
0.022222222222222223,1.0222222222222221,3.0014600107353733,3.0014387733669396,1.0,0.07174970033613777
0.024242424242424242,1.0242424242424242,3.0017352655114893,3.001707774852973,1.0,0.08630422882360851
0.026262626262626262,1.0262626262626262,3.002033875701258,3.0019990264728005,1.0,0.10248410748912347
0.028282828282828285,1.0282828282828282,3.0023557517586212,3.0023123535445935,1.0,0.12039134151994803
0.030303030303030304,1.0303030303030303,3.0027008048398423,3.00264758309741,1.0,0.14014072311969666
0.03232323232323232,1.0323232323232323,3.0030689467966347,3.0030045438511244,1.0,0.1618610301837042
0.03434343434343434,1.0343434343434343,3.00346009016937,3.0033830661966343,1.0,0.18569639144130723
0.03636363636363636,1.0363636363636364,3.003874148180368,3.0037829821763338,1.0,0.21180783789274646
0.03838383838383838,1.0383838383838384,3.0043110347272592,3.004204125464856,1.0,0.24037506338471104
0.0404040404040404,1.0404040404040404,3.004770664376431,3.0046463313500733,1.0,0.2715984206102685
0.04242424242424243,1.0424242424242425,3.005252952356546,3.0051094367143585,1.0,0.30570118275257385
0.044444444444444446,1.0444444444444445,3.005757814552141,3.005593280016096,1.0,0.3429321055021808
0.046464646464646465,1.0464646464646465,3.006285167497289,3.0060977012714467,1.0,0.3835683293554678
0.048484848484848485,1.0484848484848486,3.0068349283693476,3.0066225420363546,1.0,0.427918668061207
0.050505050505050504,1.0505050505050506,3.007407014982773,3.007167645388799,1.0,0.47632733594510146
0.052525252525252523,1.0525252525252524,3.008001345783001,3.0077328559112813,1.0,0.5291781747626318
0.05454545454545454,1.0545454545454545,3.0086178398404106,3.0083180196735486,1.0,0.5868994498835207
0.05656565656565657,1.0565656565656565,3.009256416844342,3.008922984215549,1.0,0.6499692961927054
0.05858585858585859,1.0585858585858585,3.009916997097196,3.009547598530612,1.0,0.7189219063566227
0.06060606060606061,1.0606060606060606,3.0105995015085925,3.010191713048856,1.0,0.7943545683129323
0.06262626262626263,1.0626262626262626,3.0113038515895987,3.010855179620812,1.0,0.8769356753433273
0.06464646464646465,1.0646464646464646,3.012029969447024,3.011537851501269,1.0,0.9674138512563439
0.06666666666666667,1.0666666666666667,3.012777777777778,3.0122395833333333,1.0,1.0666283555042813
0.06868686868686869,1.0686868686868687,3.0135471998632912,3.012960231132693,1.0,1.1755209590193954
0.0707070707070707,1.0707070707070707,3.014338159564003,3.013699652272098,1.0,1.2951495118130707
0.07272727272727272,1.0727272727272728,3.0151505813139092,3.0144577054660364,1.0,1.4267034586833103
0.07474747474747474,1.0747474747474748,3.0159843901151717,3.01523425075562,1.0,1.5715216006050685
0.07676767676767676,1.0767676767676768,3.016839511532786,3.0160291494936624,1.0,1.731112447578072
0.07878787878787878,1.0787878787878789,3.017715871689314,3.0168422643299553,1.0,1.9071775651115674
0.0808080808080808,1.0808080808080809,3.018613397259673,3.0176734591967365,1.0,2.1016383825968714
0.08282828282828283,1.082828282828283,3.019532015465982,3.018522599294347,1.0,2.316667009296473
0.08484848484848485,1.084848484848485,3.0204716540724665,3.0193895510770767,1.0,2.5547216946169353
0.08686868686868687,1.0868686868686868,3.021432241380422,3.020274182239191,1.0,2.8185876761847206
0.08888888888888889,1.0888888888888888,3.0224137062232304,3.021176361701143,1.0,3.111424284908802
0.09090909090909091,1.0909090909090908,3.0234159779614327,3.0220959595959593,1.0,3.4368193241760476
0.09292929292929293,1.0929292929292929,3.0244389864778594,3.0230328472558066,1.0,3.798851914688818
0.09494949494949495,1.094949494949495,3.025482662172811,3.023986897198727,1.0,4.202165202164477
0.09696969696969697,1.096969696969697,3.0265469359592916,3.0249579831155486,1.0,4.65205056804084
0.09898989898989899,1.098989898989899,3.027631739258299,3.0259459798569606,1.0,5.154545270508093
0.10101010101010101,1.101010101010101,3.028737003994163,3.0269507634207575,1.0,5.716545783005442
0.10303030303030303,1.103030303030303,3.0298626625899354,3.027972210939244,1.0,6.345939499873523
0.10505050505050505,1.105050505050505,3.0310086479628335,3.029010200666802,1.0,7.051757956183729
0.10707070707070707,1.107070707070707,3.032174893519729,3.030064611967617,1.0,7.844355275369373
0.10909090909090909,1.1090909090909091,3.0333613331526896,3.0311353253035596,1.0,8.73561623154852
0.1111111111111111,1.1111111111111112,3.034567901234568,3.0322222222222224,1.0,9.739199114256657
0.11313131313131314,1.1131313131313132,3.0357945326146396,3.033325185345106,1.0,10.870819536886923
0.11515151515151516,1.1151515151515152,3.037041162614285,3.0344440983559604,1.0,12.148582466735874
0.11717171717171718,1.1171717171717173,3.0383077270227252,3.0355788459892654,1.0,13.593371110807349
0.1191919191919192,1.1191919191919193,3.0395941620927944,3.036729314018866,1.0,15.229302911456486
0.12121212121212122,1.121212121212121,3.0409004045367682,3.0378953892467404,1.0,17.08426484302224
0.12323232323232323,1.1232323232323231,3.0422263915222274,3.0390769594919225,1.0,19.190542519136276
0.12525252525252525,1.1252525252525252,3.043572060667975,3.040273913579549,1.0,21.585560398676073
0.12727272727272726,1.1272727272727272,3.0449373500399894,3.041486141330054,1.0,24.312753710819354
0.1292929292929293,1.1292929292929292,3.0463221981474273,3.042713533548496,1.0,27.42259672136255
0.13131313131313133,1.1313131313131313,3.047726543938665,3.0439559820140176,1.0,30.973816772712574
0.13333333333333333,1.1333333333333333,3.0491503267973856,3.045213379469435,1.0,35.034829318380496
0.13535353535353536,1.1353535353535353,3.0505934865387037,3.04648561961096,1.0,39.68543614570963
0.13737373737373737,1.1373737373737374,3.052055963405336,3.0477725970780494,1.0,45.01883738934325
0.1393939393939394,1.1393939393939394,3.0535376980638103,3.049074207443379,1.0,51.14401808907256
0.1414141414141414,1.1414141414141414,3.0550386316007128,3.0503903472029403,1.0,58.18858231347766
0.14343434343434344,1.1434343434343435,3.05655870551898,3.051720913766263,1.0,66.30212271239358
0.14545454545454545,1.1454545454545455,3.0580978617342254,3.053065805446758,1.0,75.66023133606521
0.14747474747474748,1.1474747474747475,3.059656042571109,3.0544249214521733,1.0,86.46927935192932
0.1494949494949495,1.1494949494949496,3.061233190759739,3.0557981618751757,1.0,98.97211974069752
0.15151515151515152,1.1515151515151516,3.06282924943212,3.0571854276840424,1.0,113.45489919238848
0.15353535353535352,1.1535353535353536,3.0644441621186305,3.05858662071347,1.0,130.25520451525767
0.15555555555555556,1.1555555555555554,3.0660778727445392,3.0600016436554895,1.0,149.7718164726143
0.15757575757575756,1.1575757575757575,3.067730325626566,3.0614304000505035,1.0,172.47640198976995
0.1595959595959596,1.1595959595959595,3.069401465469462,3.06287279427842,1.0,198.92754648518462
0.1616161616161616,1.1616161616161615,3.071091237362647,3.0643287315499035,1.0,229.78761458911495
0.16363636363636364,1.1636363636363636,3.0727995867768594,3.065798117897727,1.0,265.8430333118599
0.16565656565656567,1.1656565656565656,3.074526459560859,3.0672808601682324,1.0,308.0287212582552
0.16767676767676767,1.1676767676767676,3.0762718019381543,3.0687768660128905,1.0,357.4575462503701
0.1696969696969697,1.1696969696969697,3.078035560503766,3.0702860438799657,1.0,415.455888528415
0.1717171717171717,1.1717171717171717,3.0798176822210257,3.0718083030062817,1.0,483.6066259944486
0.17373737373737375,1.1737373737373737,3.0816181144184065,3.0733435534090825,1.0,563.8011522249654
0.17575757575757575,1.1757575757575758,3.083436804786383,3.0748917058779957,1.0,658.3024002330873
0.17777777777777778,1.1777777777777778,3.08527370137433,3.0764526719670897,1.0,769.8212914084532
0.1797979797979798,1.1797979797979798,3.087128752587449,3.0780263639870276,1.0,901.6095798761564
0.18181818181818182,1.1818181818181819,3.0890019071837256,3.0796126949973104,1.0,1057.5727428429705
0.18383838383838383,1.183838383838384,3.0908931142709197,3.081211578798621,1.0,1242.40740871946
0.18585858585858586,1.185858585858586,3.092802323303588,3.082822929925252,1.0,1461.76885611668
0.18787878787878787,1.187878787878788,3.0947294840801334,3.084446663637626,1.0,1722.475407235523
0.1898989898989899,1.1898989898989898,3.096674546739886,3.0860826959149055,1.0,2032.7581400569984
0.1919191919191919,1.1919191919191918,3.0986374617602146,3.0877309434476916,1.0,2402.566331995522
0.19393939393939394,1.1939393939393939,3.100618179953667,3.089391323630804,1.0,2843.9415197634985
0.19595959595959597,1.195959595959596,3.1026166524651373,3.0910637545561532,1.0,3371.476137251889
0.19797979797979798,1.197979797979798,3.1046328307690665,3.0927481550056903,1.0,4002.8765275606456
0.2,1.2,3.1066666666666665,3.094444444444444,1.0,4759.6549085709385
